Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,70.20795,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,70.39104,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,69.95046,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,69.54708,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,69.02917,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,68.87089,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,78.97067,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,78.57787,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,78.17139,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,77.83659,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,77.42616,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,77.14079,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,77.01759,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,76.90228,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,76.54243,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,75.95753,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,75.36218,X,International reliable sources,base year is 2015
