"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","4412"
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","6283"
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","13006"
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","5784"
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","8496"
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","6224"
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","6359"
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","26862"
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","9642"
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","2982"
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","10744"
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","2728"
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","50","Services/other (49-98)","-","All Enterprises","Euro Million","26095"
"TSA11C03","Value of Imports","2017","2017","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C03","Value of Imports","2017","2017","99","Unknown","99","Unknown","Euro Million","1885"
"TSA11C03","Value of Imports","2017","2017","99","Unknown","-","All Enterprises","Euro Million","1885"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","05","Micro (0 to 9)","Euro Million","16933"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","01","Small (10 to 49)","Euro Million","13588"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","02","Medium (50 to 249)","Euro Million","23128"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","03","Large (250 or more)","Euro Million","27061"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","99","Unknown","Euro Million","1885"
"TSA11C03","Value of Imports","2017","2017","-","All sectors","-","All Enterprises","Euro Million","82595"
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","266"
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","484"
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","819"
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","2068"
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","3637"
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","219"
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","307"
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","988"
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","7717"
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","9231"
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","1100"
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1377"
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","4943"
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","7118"
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","14539"
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","10722"
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","9724"
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","6472"
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","6659"
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","33576"
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","5784"
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","2416"
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","11515"
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","8421"
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","50","Services/other (49-98)","-","All Enterprises","Euro Million","28137"
"TSA11C03","Value of Imports","2018","2018","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C03","Value of Imports","2018","2018","99","Unknown","99","Unknown","Euro Million","2242"
"TSA11C03","Value of Imports","2018","2018","99","Unknown","-","All Enterprises","Euro Million","2242"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","05","Micro (0 to 9)","Euro Million","18092"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","01","Small (10 to 49)","Euro Million","14309"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","02","Medium (50 to 249)","Euro Million","24736"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","03","Large (250 or more)","Euro Million","31982"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","99","Unknown","Euro Million","2242"
"TSA11C03","Value of Imports","2018","2018","-","All sectors","-","All Enterprises","Euro Million","91362"
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","278"
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","484"
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1001"
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","2136"
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","3899"
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","194"
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","295"
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","907"
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","8442"
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","9837"
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","1355"
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1452"
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","5034"
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","6797"
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","14639"
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","6757"
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","9539"
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","6713"
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","6639"
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","29648"
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","7860"
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","4045"
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","9795"
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","6186"
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","50","Services/other (49-98)","-","All Enterprises","Euro Million","27887"
"TSA11C03","Value of Imports","2019","2019","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C03","Value of Imports","2019","2019","99","Unknown","99","Unknown","Euro Million","4418"
"TSA11C03","Value of Imports","2019","2019","99","Unknown","-","All Enterprises","Euro Million","4418"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","05","Micro (0 to 9)","Euro Million","16444"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","01","Small (10 to 49)","Euro Million","15815"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","02","Medium (50 to 249)","Euro Million","23452"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","03","Large (250 or more)","Euro Million","30200"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","99","Unknown","Euro Million","4418"
"TSA11C03","Value of Imports","2019","2019","-","All sectors","-","All Enterprises","Euro Million","90328"
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","476"
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","342"
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","797"
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","1964"
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","3579"
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","246"
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","262"
